layout_is_quinconce,rows,cols,num_trees,spacing_x,spacing_y,wind_speed,wind_angle_deg,wind_oscillation_deg,wind_frequency,progressive_edge,sim_duration_sec,mean_stress,max_stress,min_stress,var_stress,std_stress
0,5,5,25,7.3442062633180365,7.329611783087484,32.738933631231816,98.8998454764231,29.64351990466954,0.42975612485227394,1,1.635278708068654,0.04658107152773553,0.09338353102279898,0.003035272289516803,0.0008806343663588194,0.029675484264941987
1,5,3,15,7.608647605824366,5.179924598744779,22.68204968283972,14.556092233835285,34.87320113900256,0.2665344924870988,0,0.9679954170715064,0.04667085392926467,0.07131877218649045,0.02864092529132973,0.00010840736948927953,0.010411885971776657
0,5,5,25,8.478817978367596,6.376851115910559,31.89826715929151,250.3857911134059,14.876600904205649,0.5626504275666904,1,1.539026582846418,0.026652251020358862,0.061937501130724805,0.001437064319237448,0.00033800586223672733,0.018384935741979826
0,3,3,9,4.384899549143965,5.44875726456884,19.83663861762013,334.69115484332633,38.28421328475459,0.5800422539062542,0,0.540233250008896,0.0229751336394914,0.031996371530604376,0.013962040669965597,4.0875028114261384e-05,0.006393358124981064
1,4,4,16,6.696711209578254,8.037200775820313,41.8827389977048,114.481250989871,13.851817358468686,0.33676109752516503,0,0.9615699169225991,0.07851014039206901,0.11121212604168698,0.052747033658738944,0.00027182132565672473,0.01648700475091594
0,3,3,9,5.523906290790145,4.823279265714708,31.022682581263258,174.53878968923397,34.23526115115946,0.3616474002791129,0,0.5158285410143435,0.05876914508646501,0.07061627180003953,0.03919530754898533,8.010942399263411e-05,0.008950386806872322
0,5,4,20,5.0938210978653515,6.790510010086706,27.115085131741225,23.361208959233362,18.887039487702065,0.34812563770316074,1,1.235386708052829,0.03523671445025438,0.06667463845395476,0.0021401973283947484,0.0005811703084562149,0.02410747412020212
1,5,3,15,4.740434649767,8.988702425244709,23.00343042825855,351.58138409975504,24.386295466138094,0.21983043974032904,0,0.8932510409504175,0.04357010124435523,0.055198545204365436,0.029068990674694133,0.0001257392779299961,0.01121335266233949
0,3,5,15,7.403527257773834,6.654672916585682,28.433494937192748,199.04151206567806,30.744385335778773,0.24851199579962915,0,0.9248439171351492,0.044680747516709675,0.05144804494449923,0.035741091959558234,2.2911461202310505e-05,0.004786591814883582
0,3,5,15,8.015698781899479,6.351503172230192,44.502694226845286,143.5767992800391,38.57511556267844,0.6790070749907308,1,1.0489592908415943,0.04928033127249852,0.09432184261759553,0.004053197686546652,0.0010008373528585894,0.031636013542458055
1,5,4,20,7.479064033954409,8.291794024068599,24.778767156056542,79.28677712359739,34.890233635330624,0.6857006276838293,0,1.2324345831293613,0.05218437076436294,0.0751609752271865,0.031261177611894925,0.00016208869044914784,0.01273140567451795
1,5,3,15,7.45468869051233,5.933676731502687,43.101899662102035,49.507539892557574,21.93732228675905,0.26808411274435345,1,1.0210357091855258,0.04628911826722561,0.13260150380815075,0.003400310719164143,0.00192874154043147,0.04391744004870354
0,4,4,16,5.289708138575778,7.299920230170895,39.51666600603647,199.87229217580645,28.537770242460226,0.345111374540271,0,1.0029574169311672,0.08262519421564667,0.11438988980451767,0.04987909376097043,0.0003716742676739473,0.019278855455497023
1,3,3,9,8.413181715946699,4.943535541706897,23.366140577765456,252.12881879019767,39.63313997834071,0.7137945751268555,0,0.6331608749460429,0.02802667160838126,0.04102738260947391,0.018737424653997015,4.1936175540957245e-05,0.006475814662338418
